,,All,,,,,,,Boys,,,,,,,Girls,,,,,
,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,,,Number of pupils at the end of key stage 4,Average Attainment 8 score per pupil,Average Progress 8 score per pupil,English and maths GCSEs,,
Code,Area,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass,,,,,Percentage of pupils entered for components,Percentage of pupils who achieved a strong 9-5 pass,Percentage of pupils who achieved a standard 9-4 pass
,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,.,.,.,.,.,.,,.,.,.,.,.,.,,.,.,.,.,.,.
E09000002,Barking and Dagenham,"2,353",46.4,+0.16,97.3,42.6,61.9,,"1,245",43.7,-0.06,96.6,39.4,58.6,,"1,108",49.4,+0.40,98.0,46.2,65.7
E09000003,Barnet,"3,804",57.1,+0.57,97.8,62.7,78.8,,"1,986",54.9,+0.35,97.4,60.3,76.8,,"1,818",59.4,+0.82,98.2,65.3,80.9
E09000004,Bexley,"3,115",49.6,-0.09,97.8,49.4,68.4,,"1,577",46.8,-0.35,97.2,45.6,64.4,,"1,538",52.5,+0.16,98.4,53.3,72.6
E09000005,Brent,"3,038",50.2,+0.47,98.0,50.5,69.1,,"1,525",47.2,+0.18,97.8,47.3,66.1,,"1,513",53.2,+0.76,98.2,53.7,72.2
E09000006,Bromley,"3,312",50.8,+0.03,96.8,51.1,72.0,,"1,599",47.5,-0.29,95.4,46.8,68.4,,"1,713",54.0,+0.33,98.1,55.2,75.4
E09000007,Camden,"1,571",48.6,+0.09,97.0,46.3,67.7,,646,42.7,-0.42,94.0,40.7,61.5,,925,52.7,+0.45,99.1,50.2,72.0
E09000008,Croydon,"3,640",45.5,+0.07,96.6,40.5,61.2,,"1,802",42.4,-0.17,95.1,37.5,57.5,,"1,838",48.5,+0.31,98.0,43.6,64.9
E09000009,Ealing,"2,956",50.9,+0.58,97.3,53.6,72.0,,"1,507",47.9,+0.32,96.4,50.6,68.7,,"1,449",54.1,+0.84,98.1,56.7,75.4
E09000010,Enfield,"3,606",46.5,+0.12,97.2,43.2,62.3,,"1,840",43.7,-0.16,96.3,39.1,58.6,,"1,766",49.4,+0.42,98.1,47.5,66.2
E09000011,Greenwich,"2,364",45.3,-0.18,97.0,41.4,62.3,,"1,171",42.7,-0.39,96.9,37.7,59.7,,"1,193",47.8,+0.03,97.2,45.0,64.9
E09000012,Hackney,"2,230",49.2,+0.29,97.0,47.6,69.4,,"1,049",45.8,-0.04,96.1,43.2,64.7,,"1,181",52.3,+0.58,97.7,51.5,73.5
E09000013,Hammersmith and Fulham,"1,326",53.9,+0.27,95.6,55.7,73.8,,632,50.4,-0.10,94.1,52.1,69.1,,694,57.1,+0.59,97.0,58.9,78.0
E09000014,Haringey,"2,336",46.9,+0.24,96.6,43.1,62.5,,"1,212",44.1,+0.02,95.6,40.0,59.3,,"1,124",49.9,+0.47,97.7,46.4,66.0
E09000015,Harrow,"2,210",50.9,+0.39,97.3,50.1,70.1,,"1,095",47.2,+0.04,96.8,46.3,65.3,,"1,115",54.7,+0.71,97.8,53.9,74.8
E09000016,Havering,"2,829",48.5,-0.05,97.8,48.5,69.8,,"1,408",46.0,-0.29,97.1,44.2,67.3,,"1,421",51.0,+0.20,98.5,52.9,72.3
E09000017,Hillingdon,"3,203",47.7,+0.11,96.5,46.7,68.0,,"1,679",44.2,-0.18,95.2,41.6,62.2,,"1,524",51.5,+0.42,97.8,52.3,74.3
E09000018,Hounslow,"2,731",49.3,+0.37,95.0,49.1,68.6,,"1,396",46.5,+0.12,93.5,45.3,65.7,,"1,335",52.2,+0.62,96.6,53.0,71.6
E09000019,Islington,"1,465",45.8,+0.03,95.5,42.3,63.5,,786,44.2,-0.14,95.2,40.1,60.1,,679,47.8,+0.22,95.9,44.9,67.5
E09000020,Kensington and Chelsea,867,53.6,+0.32,97.1,55.7,75.5,,483,53.1,+0.13,97.3,57.6,77.8,,384,54.2,+0.56,96.9,53.4,72.7
